Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
4336,My admit card has incorrect details.,IT Support,19,High
804,What are university working hours?,Academic Office,41,Low
858,LMS is not allowing assignment upload.,Administration,30,Medium
3471,How to join student clubs?,Hostel Office,33,Low
2419,Please share syllabus for Data Science course.,Finance Office,57,Low
2755,My exam form is not submitted and tomorrow is the last date.,Examination Cell,47,High
4680,When will the library issue new ID cards?,Library,26,Low
1644,What is the hostel application procedure?,Administration,51,Low
220,Please share syllabus for Data Science course.,Finance Office,7,Low
5175,How to reset my university portal password?,IT Support,60,Medium
1289,Request for internship approval letter.,IT Support,45,Medium
1116,My admit card has incorrect details.,Examination Cell,9,High
583,What is the hostel application procedure?,Examination Cell,17,Low
3162,LMS is not allowing assignment upload.,Hostel Office,39,Medium
44,How to reset my university portal password?,Examination Cell,36,Medium
5772,Fee payment deadline is today but portal is not working.,Examination Cell,47,High
2452,My exam form is not submitted and tomorrow is the last date.,Examination Cell,28,High
5950,What is the hostel application procedure?,IT Support,27,Low
1521,LMS is not allowing assignment upload.,Library,60,Medium
3129,I cannot download my hall ticket for tomorrow's exam.,Administration,47,High
2132,I want to change my elective subject.,Examination Cell,26,Medium
1745,My admit card has incorrect details.,IT Support,43,High
5790,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,50,High
1225,How to join student clubs?,Examination Cell,5,Low
2800,Please share syllabus for Data Science course.,IT Support,22,Low
1072,What are university working hours?,Academic Office,2,Low
719,I need a bonafide certificate.,Academic Office,54,Medium
4357,What are university working hours?,Examination Cell,54,Low
1962,What are university working hours?,Finance Office,25,Low
671,How to reset my university portal password?,IT Support,3,Medium
3894,LMS is not allowing assignment upload.,Examination Cell,45,Medium
3103,Fee payment deadline is today but portal is not working.,Administration,47,High
2046,How to join student clubs?,Administration,41,Low
4798,How to join student clubs?,Finance Office,33,Low
5954,My admit card has incorrect details.,Examination Cell,3,High
898,What are university working hours?,Library,7,Low
1259,I want to change my elective subject.,Library,10,Medium
2856,I need a bonafide certificate.,Examination Cell,24,Medium
96,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,45,High
3022,My exam form is not submitted and tomorrow is the last date.,Library,54,High
3277,I have not received my scholarship amount.,Academic Office,15,High
843,I want to change my elective subject.,Library,60,Medium
4035,How to reset my university portal password?,Administration,58,Medium
2706,I have not received my scholarship amount.,Library,24,High
4976,What is the hostel application procedure?,IT Support,59,Low
2619,My admit card has incorrect details.,IT Support,1,High
3419,When will the library issue new ID cards?,Finance Office,48,Low
4632,Please share syllabus for Data Science course.,Academic Office,44,Low
5152,My admit card has incorrect details.,Examination Cell,35,High
323,When will the library issue new ID cards?,Finance Office,53,Low
4356,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,40,High
2133,I need a bonafide certificate.,Library,50,Medium
3728,When will the library issue new ID cards?,Academic Office,15,Low
335,My admit card has incorrect details.,Hostel Office,31,High
2645,What are university working hours?,Administration,3,Low
333,My exam form is not submitted and tomorrow is the last date.,Finance Office,44,High
834,My admit card has incorrect details.,Examination Cell,49,High
2535,Request for internship approval letter.,Finance Office,37,Medium
2168,My admit card has incorrect details.,Examination Cell,21,High
2252,Fee payment deadline is today but portal is not working.,Hostel Office,20,High
1887,LMS is not allowing assignment upload.,Library,50,Medium
2167,Fee payment deadline is today but portal is not working.,Administration,11,High
732,Fee payment deadline is today but portal is not working.,Library,10,High
1696,My exam form is not submitted and tomorrow is the last date.,Administration,36,High
292,LMS is not allowing assignment upload.,Examination Cell,19,Medium
185,I need a bonafide certificate.,Examination Cell,43,Medium
4727,How to join student clubs?,Examination Cell,54,Low
4764,Request for internship approval letter.,Examination Cell,46,Medium
3212,What is the hostel application procedure?,Hostel Office,37,Low
534,How to reset my university portal password?,IT Support,12,Medium
2836,I cannot download my hall ticket for tomorrow's exam.,Academic Office,53,High
2716,My admit card has incorrect details.,Hostel Office,44,High
3899,My exam form is not submitted and tomorrow is the last date.,Hostel Office,33,High
3169,I cannot download my hall ticket for tomorrow's exam.,IT Support,44,High
658,When will the library issue new ID cards?,Academic Office,43,Low
1256,How to join student clubs?,IT Support,37,Low
2723,My exam form is not submitted and tomorrow is the last date.,Library,42,High
2733,I want to change my elective subject.,Finance Office,39,Medium
2482,What is the hostel application procedure?,Academic Office,21,Low
5088,LMS is not allowing assignment upload.,IT Support,55,Medium
899,I cannot download my hall ticket for tomorrow's exam.,Academic Office,47,High
429,My admit card has incorrect details.,Examination Cell,47,High
5449,When will the library issue new ID cards?,Finance Office,32,Low
1993,My admit card has incorrect details.,Finance Office,10,High
2005,I want to change my elective subject.,Examination Cell,55,Medium
1437,Fee payment deadline is today but portal is not working.,Administration,42,High
5430,LMS is not allowing assignment upload.,Hostel Office,16,Medium
1223,What is the hostel application procedure?,Administration,30,Low
2888,I need a bonafide certificate.,Library,31,Medium
2338,Request for internship approval letter.,Examination Cell,24,Medium
3516,How to join student clubs?,Administration,49,Low
4520,Please share syllabus for Data Science course.,Finance Office,54,Low
5911,My exam form is not submitted and tomorrow is the last date.,IT Support,35,High
4714,LMS is not allowing assignment upload.,Hostel Office,3,Medium
2848,When will the library issue new ID cards?,Administration,20,Low
4337,Request for internship approval letter.,IT Support,47,Medium
3387,LMS is not allowing assignment upload.,Administration,51,Medium
1722,I cannot download my hall ticket for tomorrow's exam.,Library,58,High
2405,I have not received my scholarship amount.,Hostel Office,50,High
1819,How to reset my university portal password?,Library,46,Medium
5419,When will the library issue new ID cards?,Academic Office,48,Low
2677,My exam form is not submitted and tomorrow is the last date.,IT Support,34,High
4956,Please share syllabus for Data Science course.,Examination Cell,9,Low
3613,What are university working hours?,Examination Cell,60,Low
3729,Fee payment deadline is today but portal is not working.,Academic Office,46,High
2906,I have not received my scholarship amount.,Administration,59,High
1411,I need a bonafide certificate.,Academic Office,25,Medium
4343,When will the library issue new ID cards?,Administration,58,Low
4003,What are university working hours?,Examination Cell,9,Low
5714,How to reset my university portal password?,Hostel Office,59,Medium
2165,I have not received my scholarship amount.,IT Support,27,High
1832,How to reset my university portal password?,Library,45,Medium
1127,What are university working hours?,Finance Office,20,Low
4372,I need a bonafide certificate.,Hostel Office,47,Medium
5638,I want to change my elective subject.,Examination Cell,57,Medium
5923,I need a bonafide certificate.,Finance Office,49,Medium
3781,I want to change my elective subject.,IT Support,8,Medium
305,What is the hostel application procedure?,Hostel Office,23,Low
1898,My exam form is not submitted and tomorrow is the last date.,Examination Cell,30,High
1293,LMS is not allowing assignment upload.,Examination Cell,16,Medium
71,What are university working hours?,Finance Office,9,Low
4145,What are university working hours?,Hostel Office,11,Low
1306,LMS is not allowing assignment upload.,Administration,16,Medium
2781,Fee payment deadline is today but portal is not working.,Academic Office,5,High
5252,My exam form is not submitted and tomorrow is the last date.,Academic Office,5,High
4225,What are university working hours?,Library,26,Low
1666,What are university working hours?,Library,42,Low
1341,What are university working hours?,Library,12,Low
832,When will the library issue new ID cards?,Examination Cell,9,Low
2572,I have not received my scholarship amount.,Hostel Office,12,High
1457,How to join student clubs?,Academic Office,55,Low
3208,What is the hostel application procedure?,Administration,58,Low
3247,What are university working hours?,IT Support,47,Low
239,How to reset my university portal password?,Academic Office,40,Medium
93,What are university working hours?,Examination Cell,53,Low
5710,What is the hostel application procedure?,Academic Office,60,Low
2945,How to reset my university portal password?,IT Support,44,Medium
2520,How to reset my university portal password?,Finance Office,59,Medium
2772,I cannot download my hall ticket for tomorrow's exam.,IT Support,28,High
2604,My exam form is not submitted and tomorrow is the last date.,Library,25,High
5307,How to reset my university portal password?,Academic Office,47,Medium
3440,How to reset my university portal password?,Academic Office,14,Medium
1002,I want to change my elective subject.,Examination Cell,57,Medium
2043,I have not received my scholarship amount.,Academic Office,45,High
5179,I have not received my scholarship amount.,IT Support,43,High
3429,Please share syllabus for Data Science course.,Hostel Office,34,Low
2616,LMS is not allowing assignment upload.,Academic Office,49,Medium
1505,I have not received my scholarship amount.,Examination Cell,3,High
958,When will the library issue new ID cards?,Finance Office,43,Low
3802,Request for internship approval letter.,Academic Office,34,Medium
5313,LMS is not allowing assignment upload.,Administration,4,Medium
4762,I cannot download my hall ticket for tomorrow's exam.,Academic Office,16,High
1533,My admit card has incorrect details.,Library,52,High
2303,I want to change my elective subject.,Examination Cell,41,Medium
412,What are university working hours?,Library,17,Low
1406,Request for internship approval letter.,Library,34,Medium
3348,My admit card has incorrect details.,Academic Office,13,High
5759,I cannot download my hall ticket for tomorrow's exam.,Administration,34,High
1789,Fee payment deadline is today but portal is not working.,Academic Office,31,High
2882,Fee payment deadline is today but portal is not working.,Examination Cell,53,High
3051,LMS is not allowing assignment upload.,Examination Cell,11,Medium
2088,I cannot download my hall ticket for tomorrow's exam.,Administration,55,High
1035,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,35,High
5264,I need a bonafide certificate.,Administration,36,Medium
5886,I cannot download my hall ticket for tomorrow's exam.,Finance Office,54,High
5221,Please share syllabus for Data Science course.,Administration,7,Low
932,What is the hostel application procedure?,Library,18,Low
5472,Request for internship approval letter.,IT Support,22,Medium
3329,I want to change my elective subject.,IT Support,58,Medium
634,What is the hostel application procedure?,Finance Office,53,Low
1742,What are university working hours?,Hostel Office,11,Low
499,What is the hostel application procedure?,IT Support,54,Low
938,LMS is not allowing assignment upload.,Examination Cell,50,Medium
416,I want to change my elective subject.,Examination Cell,55,Medium
2329,Request for internship approval letter.,Finance Office,14,Medium
3280,What are university working hours?,Administration,24,Low
3587,What are university working hours?,Academic Office,10,Low
4368,I have not received my scholarship amount.,Hostel Office,36,High
4913,My admit card has incorrect details.,IT Support,15,High
758,I have not received my scholarship amount.,Administration,31,High
1617,LMS is not allowing assignment upload.,Administration,24,Medium
1042,LMS is not allowing assignment upload.,Academic Office,16,Medium
3632,How to reset my university portal password?,Finance Office,4,Medium
4654,When will the library issue new ID cards?,Academic Office,46,Low
4465,My admit card has incorrect details.,IT Support,50,High
2463,Please share syllabus for Data Science course.,Academic Office,46,Low
597,Fee payment deadline is today but portal is not working.,Finance Office,16,High
4044,I have not received my scholarship amount.,IT Support,57,High
2764,I want to change my elective subject.,Examination Cell,17,Medium
1069,I need a bonafide certificate.,Academic Office,7,Medium
2196,What is the hostel application procedure?,Hostel Office,6,Low
3040,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,51,High
5605,When will the library issue new ID cards?,Hostel Office,25,Low
3228,I cannot download my hall ticket for tomorrow's exam.,IT Support,30,High
653,How to reset my university portal password?,Examination Cell,7,Medium
4625,I want to change my elective subject.,Academic Office,30,Medium
5332,LMS is not allowing assignment upload.,IT Support,46,Medium
5168,I need a bonafide certificate.,Academic Office,27,Medium
2717,My exam form is not submitted and tomorrow is the last date.,Administration,17,High
4854,Request for internship approval letter.,Academic Office,46,Medium
5902,What are university working hours?,Library,38,Low
2700,My exam form is not submitted and tomorrow is the last date.,Academic Office,22,High
4546,I have not received my scholarship amount.,Finance Office,20,High
76,Please share syllabus for Data Science course.,Finance Office,60,Low
3667,I have not received my scholarship amount.,Finance Office,48,High
5925,My admit card has incorrect details.,Hostel Office,44,High
2930,Fee payment deadline is today but portal is not working.,Examination Cell,39,High
5529,I want to change my elective subject.,Library,32,Medium
5956,My admit card has incorrect details.,Finance Office,58,High
3804,I want to change my elective subject.,IT Support,31,Medium
5026,My admit card has incorrect details.,Finance Office,38,High
5283,How to reset my university portal password?,Hostel Office,16,Medium
2485,I want to change my elective subject.,Hostel Office,24,Medium
4792,I have not received my scholarship amount.,Administration,57,High
1011,When will the library issue new ID cards?,Academic Office,11,Low
1030,My admit card has incorrect details.,IT Support,20,High
2843,How to join student clubs?,IT Support,47,Low
829,I need a bonafide certificate.,Finance Office,22,Medium
2707,I cannot download my hall ticket for tomorrow's exam.,Finance Office,20,High
1877,I have not received my scholarship amount.,IT Support,27,High
97,What are university working hours?,Library,34,Low
3379,When will the library issue new ID cards?,Library,6,Low
4598,How to join student clubs?,Administration,23,Low
4596,What is the hostel application procedure?,Examination Cell,7,Low
4842,When will the library issue new ID cards?,Finance Office,28,Low
1201,I have not received my scholarship amount.,Hostel Office,36,High
622,How to join student clubs?,Finance Office,19,Low
5454,Request for internship approval letter.,Examination Cell,36,Medium
1413,I have not received my scholarship amount.,IT Support,22,High
567,My exam form is not submitted and tomorrow is the last date.,Hostel Office,19,High
544,Request for internship approval letter.,IT Support,15,Medium
1335,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,11,High
4300,How to reset my university portal password?,Examination Cell,41,Medium
52,I want to change my elective subject.,Hostel Office,41,Medium
5047,Fee payment deadline is today but portal is not working.,Finance Office,27,High
2068,I have not received my scholarship amount.,Administration,18,High
3873,How to join student clubs?,Academic Office,1,Low
1559,LMS is not allowing assignment upload.,Library,2,Medium
746,Please share syllabus for Data Science course.,IT Support,52,Low
4526,Fee payment deadline is today but portal is not working.,Administration,59,High
4672,I have not received my scholarship amount.,Academic Office,38,High
1468,Please share syllabus for Data Science course.,Library,45,Low
4463,Please share syllabus for Data Science course.,Examination Cell,45,Low
196,My admit card has incorrect details.,Hostel Office,49,High
3401,Please share syllabus for Data Science course.,Finance Office,18,Low
4268,How to join student clubs?,Finance Office,50,Low
3780,How to reset my university portal password?,Academic Office,46,Medium
803,I have not received my scholarship amount.,Administration,30,High
1619,My exam form is not submitted and tomorrow is the last date.,Finance Office,18,High
5187,What are university working hours?,Hostel Office,48,Low
4438,Request for internship approval letter.,Finance Office,49,Medium
621,I want to change my elective subject.,Hostel Office,1,Medium
5340,I need a bonafide certificate.,Hostel Office,55,Medium
4149,Request for internship approval letter.,Finance Office,58,Medium
3627,When will the library issue new ID cards?,Finance Office,19,Low
4113,I need a bonafide certificate.,Examination Cell,5,Medium
3407,What are university working hours?,Examination Cell,13,Low
3385,Request for internship approval letter.,Library,60,Medium
645,What is the hostel application procedure?,Finance Office,31,Low
2790,When will the library issue new ID cards?,Academic Office,49,Low
5437,How to reset my university portal password?,Academic Office,7,Medium
1790,Request for internship approval letter.,Finance Office,14,Medium
1062,What is the hostel application procedure?,Administration,28,Low
4158,I want to change my elective subject.,Finance Office,12,Medium
4600,I need a bonafide certificate.,Finance Office,23,Medium
121,My exam form is not submitted and tomorrow is the last date.,IT Support,39,High
2917,I cannot download my hall ticket for tomorrow's exam.,Finance Office,18,High
3881,I need a bonafide certificate.,Library,44,Medium
4130,My admit card has incorrect details.,Finance Office,10,High
4820,What are university working hours?,Library,14,Low
3195,My admit card has incorrect details.,Examination Cell,16,High
1231,How to join student clubs?,Academic Office,52,Low
2761,Request for internship approval letter.,Finance Office,39,Medium
5538,How to reset my university portal password?,Academic Office,49,Medium
5575,I have not received my scholarship amount.,Academic Office,9,High
5953,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,19,High
3307,How to join student clubs?,Examination Cell,2,Low
135,My admit card has incorrect details.,Hostel Office,43,High
3484,What is the hostel application procedure?,Administration,59,Low
2580,How to reset my university portal password?,Hostel Office,3,Medium
2841,Request for internship approval letter.,Finance Office,47,Medium
3793,My admit card has incorrect details.,Administration,27,High
5717,I need a bonafide certificate.,Examination Cell,13,Medium
2219,How to join student clubs?,IT Support,33,Low
512,LMS is not allowing assignment upload.,Library,41,Medium
5985,Please share syllabus for Data Science course.,Academic Office,4,Low
63,I have not received my scholarship amount.,Library,33,High
1554,How to reset my university portal password?,Examination Cell,30,Medium
3771,I cannot download my hall ticket for tomorrow's exam.,Administration,10,High
5217,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,41,High
5589,How to reset my university portal password?,Examination Cell,9,Medium
1719,I need a bonafide certificate.,IT Support,35,Medium
2861,I need a bonafide certificate.,Examination Cell,30,Medium
4371,Please share syllabus for Data Science course.,Finance Office,31,Low
2096,My exam form is not submitted and tomorrow is the last date.,Finance Office,57,High
680,Please share syllabus for Data Science course.,Academic Office,16,Low
3687,My exam form is not submitted and tomorrow is the last date.,Finance Office,22,High
1212,What is the hostel application procedure?,IT Support,10,Low
123,Request for internship approval letter.,Examination Cell,34,Medium
2642,Fee payment deadline is today but portal is not working.,Administration,28,High
3086,LMS is not allowing assignment upload.,Hostel Office,59,Medium
4078,I have not received my scholarship amount.,Finance Office,24,High
4918,How to join student clubs?,Library,7,Low
3177,What is the hostel application procedure?,Administration,53,Low
1211,How to join student clubs?,Administration,15,Low
568,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,40,High
3430,How to join student clubs?,Finance Office,11,Low
549,Please share syllabus for Data Science course.,Administration,32,Low
865,I need a bonafide certificate.,IT Support,8,Medium
4540,I have not received my scholarship amount.,Hostel Office,17,High
1393,How to join student clubs?,Administration,46,Low
5726,I want to change my elective subject.,Academic Office,25,Medium
2403,Please share syllabus for Data Science course.,Administration,59,Low
3985,My admit card has incorrect details.,Academic Office,19,High
2058,Request for internship approval letter.,IT Support,6,Medium
4771,My exam form is not submitted and tomorrow is the last date.,Administration,43,High
721,I want to change my elective subject.,Academic Office,16,Medium
3838,How to reset my university portal password?,Hostel Office,32,Medium
2883,I need a bonafide certificate.,Finance Office,57,Medium
691,Request for internship approval letter.,Administration,9,Medium
603,How to join student clubs?,IT Support,35,Low
2216,My admit card has incorrect details.,Hostel Office,33,High
4968,My admit card has incorrect details.,Hostel Office,15,High
5376,What are university working hours?,Academic Office,47,Low
5016,When will the library issue new ID cards?,IT Support,60,Low
5578,How to reset my university portal password?,Administration,57,Medium
504,Please share syllabus for Data Science course.,Administration,10,Low
4503,Please share syllabus for Data Science course.,IT Support,21,Low
319,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,13,High
5879,What are university working hours?,Examination Cell,5,Low
5514,Fee payment deadline is today but portal is not working.,Finance Office,57,High
275,My exam form is not submitted and tomorrow is the last date.,Examination Cell,27,High
5156,I want to change my elective subject.,Library,60,Medium
3621,My exam form is not submitted and tomorrow is the last date.,Academic Office,44,High
1362,How to reset my university portal password?,Hostel Office,58,Medium
4196,I have not received my scholarship amount.,Finance Office,59,High
1527,I have not received my scholarship amount.,IT Support,6,High
2367,When will the library issue new ID cards?,Academic Office,9,Low
3376,What is the hostel application procedure?,Examination Cell,31,Low
4161,Request for internship approval letter.,IT Support,24,Medium
2292,Please share syllabus for Data Science course.,Finance Office,4,Low
3289,My exam form is not submitted and tomorrow is the last date.,Administration,6,High
3876,What is the hostel application procedure?,IT Support,31,Low
3559,Fee payment deadline is today but portal is not working.,Hostel Office,10,High
5158,Please share syllabus for Data Science course.,Library,7,Low
946,What is the hostel application procedure?,Administration,55,Low
4717,Request for internship approval letter.,Academic Office,17,Medium
5782,Fee payment deadline is today but portal is not working.,Academic Office,36,High
296,What is the hostel application procedure?,Academic Office,11,Low
3167,My admit card has incorrect details.,Hostel Office,53,High
2183,LMS is not allowing assignment upload.,Administration,37,Medium
299,LMS is not allowing assignment upload.,Examination Cell,55,Medium
69,My exam form is not submitted and tomorrow is the last date.,Administration,16,High
4393,Request for internship approval letter.,Hostel Office,53,Medium
737,Please share syllabus for Data Science course.,Hostel Office,57,Low
3476,My admit card has incorrect details.,Finance Office,27,High
4267,I have not received my scholarship amount.,Library,31,High
2989,I have not received my scholarship amount.,Finance Office,8,High
3647,Request for internship approval letter.,Administration,16,Medium
1504,My exam form is not submitted and tomorrow is the last date.,Hostel Office,46,High
2073,I have not received my scholarship amount.,Administration,1,High
151,How to reset my university portal password?,IT Support,15,Medium
757,When will the library issue new ID cards?,Examination Cell,45,Low
5899,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,11,High
3502,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,27,High
1704,Please share syllabus for Data Science course.,Hostel Office,27,Low
5467,I have not received my scholarship amount.,Administration,46,High
2105,I need a bonafide certificate.,Academic Office,55,Medium
170,What are university working hours?,Administration,45,Low
2155,I have not received my scholarship amount.,Finance Office,47,High
377,Fee payment deadline is today but portal is not working.,Finance Office,58,High
2026,When will the library issue new ID cards?,Examination Cell,13,Low
860,When will the library issue new ID cards?,Examination Cell,5,Low
2688,Please share syllabus for Data Science course.,Academic Office,7,Low
5036,LMS is not allowing assignment upload.,Examination Cell,11,Medium
5349,I have not received my scholarship amount.,IT Support,38,High
379,What are university working hours?,Academic Office,25,Low
4784,What are university working hours?,Administration,12,Low
5457,I need a bonafide certificate.,Finance Office,25,Medium
1295,How to join student clubs?,Examination Cell,55,Low
4972,My exam form is not submitted and tomorrow is the last date.,Hostel Office,9,High
1433,My exam form is not submitted and tomorrow is the last date.,Academic Office,32,High
5326,When will the library issue new ID cards?,Academic Office,8,Low
5860,What is the hostel application procedure?,Library,37,Low
2943,What are university working hours?,Administration,37,Low
1780,Request for internship approval letter.,IT Support,40,Medium
3389,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,5,High
5163,Fee payment deadline is today but portal is not working.,Finance Office,25,High
5136,What are university working hours?,Academic Office,59,Low
3544,I need a bonafide certificate.,Academic Office,31,Medium
842,I cannot download my hall ticket for tomorrow's exam.,Administration,37,High
2573,Fee payment deadline is today but portal is not working.,Administration,48,High
1190,I cannot download my hall ticket for tomorrow's exam.,IT Support,3,High
176,Please share syllabus for Data Science course.,Library,47,Low
4776,What are university working hours?,Academic Office,29,Low
928,What is the hostel application procedure?,Hostel Office,37,Low
3259,I need a bonafide certificate.,Library,12,Medium
46,How to reset my university portal password?,Hostel Office,4,Medium
1261,Please share syllabus for Data Science course.,Library,54,Low
1097,I cannot download my hall ticket for tomorrow's exam.,Finance Office,40,High
1444,When will the library issue new ID cards?,Library,52,Low
2108,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,32,High
5004,How to join student clubs?,Academic Office,32,Low
1188,What is the hostel application procedure?,Finance Office,15,Low
5094,What is the hostel application procedure?,Hostel Office,37,Low
3788,I have not received my scholarship amount.,Academic Office,20,High
1031,Fee payment deadline is today but portal is not working.,IT Support,33,High
4818,What are university working hours?,Academic Office,20,Low
301,My exam form is not submitted and tomorrow is the last date.,Academic Office,46,High
2524,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,39,High
1473,I have not received my scholarship amount.,Administration,28,High
284,What are university working hours?,Administration,12,Low
4383,My exam form is not submitted and tomorrow is the last date.,Administration,10,High
2481,LMS is not allowing assignment upload.,Finance Office,44,Medium
4756,My admit card has incorrect details.,Hostel Office,9,High
3347,My exam form is not submitted and tomorrow is the last date.,Finance Office,56,High
1814,What are university working hours?,Academic Office,18,Low
3888,LMS is not allowing assignment upload.,Administration,39,Medium
4314,How to join student clubs?,Administration,2,Low
4142,My exam form is not submitted and tomorrow is the last date.,Finance Office,56,High
5062,Request for internship approval letter.,Hostel Office,1,Medium
4828,How to join student clubs?,Library,46,Low
2933,My exam form is not submitted and tomorrow is the last date.,Administration,25,High
2120,I want to change my elective subject.,Finance Office,32,Medium
5658,I have not received my scholarship amount.,Examination Cell,54,High
4815,What are university working hours?,Academic Office,5,Low
3808,How to join student clubs?,Administration,26,Low
5706,How to join student clubs?,Examination Cell,2,Low
5775,When will the library issue new ID cards?,Hostel Office,23,Low
2331,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,7,High
2030,Fee payment deadline is today but portal is not working.,Finance Office,15,High
5465,I cannot download my hall ticket for tomorrow's exam.,Library,18,High
258,When will the library issue new ID cards?,Hostel Office,32,Low
508,When will the library issue new ID cards?,Administration,45,Low
1943,How to join student clubs?,Hostel Office,31,Low
100,I want to change my elective subject.,IT Support,12,Medium
2956,I have not received my scholarship amount.,Administration,24,High
745,My admit card has incorrect details.,Finance Office,13,High
4571,I have not received my scholarship amount.,Examination Cell,31,High
5553,My admit card has incorrect details.,IT Support,10,High
1376,I cannot download my hall ticket for tomorrow's exam.,Administration,47,High
3867,Request for internship approval letter.,Examination Cell,52,Medium
3820,Request for internship approval letter.,Library,11,Medium
3683,I want to change my elective subject.,Examination Cell,17,Medium
1955,My admit card has incorrect details.,Administration,32,High
4747,I have not received my scholarship amount.,Library,1,High
1158,Please share syllabus for Data Science course.,Hostel Office,24,Low
4369,My admit card has incorrect details.,Examination Cell,20,High
3366,How to join student clubs?,Finance Office,46,Low
4906,I want to change my elective subject.,Administration,39,Medium
1438,LMS is not allowing assignment upload.,Administration,24,Medium
367,My exam form is not submitted and tomorrow is the last date.,Hostel Office,60,High
4814,How to reset my university portal password?,Hostel Office,49,Medium
2942,I have not received my scholarship amount.,Hostel Office,57,High
403,I have not received my scholarship amount.,Administration,56,High
4645,What is the hostel application procedure?,Academic Office,57,Low
5655,What are university working hours?,Finance Office,46,Low
950,Fee payment deadline is today but portal is not working.,Library,46,High
2782,How to join student clubs?,Hostel Office,11,Low
20,Fee payment deadline is today but portal is not working.,Hostel Office,56,High
230,What is the hostel application procedure?,IT Support,13,Low
4188,How to reset my university portal password?,Administration,3,Medium
669,Please share syllabus for Data Science course.,Library,2,Low
219,I want to change my elective subject.,Administration,5,Medium
5008,Please share syllabus for Data Science course.,Examination Cell,49,Low
4025,Please share syllabus for Data Science course.,Library,22,Low
3572,I have not received my scholarship amount.,Hostel Office,39,High
2514,When will the library issue new ID cards?,Hostel Office,22,Low
4391,I need a bonafide certificate.,Finance Office,35,Medium
586,How to reset my university portal password?,Academic Office,5,Medium
1913,My admit card has incorrect details.,Administration,18,High
5378,What is the hostel application procedure?,Library,26,Low
4432,What is the hostel application procedure?,Administration,56,Low
4348,What is the hostel application procedure?,Library,38,Low
3830,What is the hostel application procedure?,Library,29,Low
3480,I have not received my scholarship amount.,Finance Office,9,High
4578,Fee payment deadline is today but portal is not working.,Library,7,High
778,I need a bonafide certificate.,IT Support,44,Medium
2315,My exam form is not submitted and tomorrow is the last date.,Hostel Office,22,High
1019,I need a bonafide certificate.,Finance Office,23,Medium
1607,My admit card has incorrect details.,Hostel Office,8,High
2506,I need a bonafide certificate.,Administration,11,Medium
2808,I need a bonafide certificate.,Finance Office,22,Medium
4589,Fee payment deadline is today but portal is not working.,Examination Cell,5,High
3214,How to join student clubs?,IT Support,52,Low
1492,My exam form is not submitted and tomorrow is the last date.,Finance Office,42,High
4985,LMS is not allowing assignment upload.,IT Support,47,Medium
5248,My admit card has incorrect details.,Library,44,High
4341,I have not received my scholarship amount.,Examination Cell,53,High
3661,What is the hostel application procedure?,Finance Office,10,Low
4488,Please share syllabus for Data Science course.,Examination Cell,37,Low
2878,LMS is not allowing assignment upload.,Academic Office,22,Medium
1594,When will the library issue new ID cards?,IT Support,47,Low
518,I need a bonafide certificate.,Administration,52,Medium
322,How to reset my university portal password?,Finance Office,19,Medium
5265,Request for internship approval letter.,Examination Cell,53,Medium
5636,When will the library issue new ID cards?,Examination Cell,7,Low
4100,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,22,High
3690,I need a bonafide certificate.,IT Support,2,Medium
218,What are university working hours?,Hostel Office,25,Low
2656,My admit card has incorrect details.,Administration,20,High
2389,I need a bonafide certificate.,IT Support,1,Medium
361,What is the hostel application procedure?,Academic Office,19,Low
4376,How to join student clubs?,IT Support,41,Low
3337,What is the hostel application procedure?,Examination Cell,42,Low
3011,How to reset my university portal password?,Library,35,Medium
2319,I cannot download my hall ticket for tomorrow's exam.,Library,7,High
1053,I need a bonafide certificate.,IT Support,16,Medium
5141,I cannot download my hall ticket for tomorrow's exam.,Library,23,High
760,I have not received my scholarship amount.,IT Support,7,High
4668,I cannot download my hall ticket for tomorrow's exam.,Hostel Office,13,High
5278,Fee payment deadline is today but portal is not working.,Hostel Office,32,High
5996,How to join student clubs?,Finance Office,13,Low
1427,What are university working hours?,IT Support,51,Low
4408,Please share syllabus for Data Science course.,IT Support,25,Low
3698,How to reset my university portal password?,Library,34,Medium
215,My exam form is not submitted and tomorrow is the last date.,IT Support,40,High
1615,Please share syllabus for Data Science course.,Library,52,Low
4676,I want to change my elective subject.,Administration,5,Medium
1718,My admit card has incorrect details.,Examination Cell,23,High
